Storage: search_in_one_dict
Data	Execution time
1	0,000004
10	0,000011
20	0,000026
30	0,000032
40	0,000053
50	0,000051
60	0,000063
70	0,000080
80	0,000083
90	0,000096
100	0,000106
110	0,000115
120	0,000125
130	0,000132
140	0,000145
150	0,000149
160	0,000159
170	0,000185
180	0,000191
190	0,000190
200	0,000199
210	0,000212
220	0,000212
230	0,000229
240	0,000240
250	0,000258
260	0,000268
270	0,000274
280	0,000271
290	0,000291
300	0,000323
310	0,000301
320	0,000314
330	0,000329
340	0,000331
350	0,000323
360	0,000354
370	0,000365
380	0,000367
390	0,000370
400	0,000404
410	0,000396
420	0,000399
430	0,000408
440	0,000450
450	0,000440
460	0,000449
470	0,000462
480	0,000461
490	0,000455
500	0,000471
510	0,000493
520	0,000512
530	0,000516
540	0,000533
550	0,000519
560	0,000566
570	0,000570
580	0,000541
590	0,000579
600	0,000587
610	0,000586
620	0,000613
630	0,000606
640	0,000594
650	0,000627
660	0,000674
670	0,000674
680	0,000688
690	0,000654
700	0,000694
710	0,000716
720	0,000718
730	0,000697
740	0,000690
750	0,000699
760	0,000750
770	0,000739
780	0,000752
790	0,000772
800	0,000774
810	0,000793
820	0,000767
830	0,000761
840	0,000817
850	0,000832
860	0,000871
870	0,000848
880	0,000831
890	0,000858
900	0,000905
910	0,000891
920	0,000842
930	0,000876
940	0,000901
950	0,000915
960	0,000403
970	0,000548
980	0,000958
990	0,000932
1000	0,000956
1010	0,000994
1020	0,000998
1030	0,001006
1040	0,001030
1050	0,001001
1060	0,001047
1070	0,000991
1080	0,001058
1090	0,001012
1100	0,001019
1110	0,001056
1120	0,001090
1130	0,001119
1140	0,001070
1150	0,001113
1160	0,001112
1170	0,001133
1180	0,001107
1190	0,001103
1200	0,001146
1210	0,001149
1220	0,001150
1230	0,001152
1240	0,001159
1250	0,001168
1260	0,000975
1270	0,000419
1280	0,000542
1290	0,000578
1300	0,000458
1310	0,000338
1320	0,000436
1330	0,001295
1340	0,001305
1350	0,001278
1360	0,001304
1370	0,001273
1380	0,001363
1390	0,001373
1400	0,001385
1410	0,001360
1420	0,001378
1430	0,000392
1440	0,000295
1450	0,000492
1460	0,001356
1470	0,001410
1480	0,001453
1490	0,001452
1500	0,001522
1510	0,001434
1520	0,001404
1530	0,001456
1540	0,001475
1550	0,001530
1560	0,001482
1570	0,001466
1580	0,001475
1590	0,001498
1600	0,001558
1610	0,001551
1620	0,001534
1630	0,001567
1640	0,001613
1650	0,001577
1660	0,001544
1670	0,001590
1680	0,001592
1690	0,001616
1700	0,001643
1710	0,001751
1720	0,001634
1730	0,001676
1740	0,001647
1750	0,001716
1760	0,001702
1770	0,001674
1780	0,001705
1790	0,001658
1800	0,001723
1810	0,001683
1820	0,001705
1830	0,001837
1840	0,001774
