Storage: restore_data_db_with_dict
Data	Execution time
1	0,000016
10	0,000156
20	0,000312
30	0,000469
40	0,000624
50	0,000777
60	0,000931
70	0,001085
80	0,001240
90	0,001412
100	0,001553
110	0,001711
120	0,001870
130	0,002036
140	0,002204
150	0,002367
160	0,002511
170	0,002678
180	0,002823
190	0,002983
200	0,003147
210	0,003329
220	0,003455
230	0,003629
240	0,003818
250	0,003930
260	0,004082
270	0,004257
280	0,004385
290	0,004572
300	0,004728
310	0,004894
320	0,005049
330	0,005188
340	0,005358
350	0,005515
360	0,005651
370	0,005796
380	0,005971
390	0,006120
400	0,006321
410	0,006503
420	0,006618
430	0,006738
440	0,006950
450	0,007052
460	0,007213
470	0,007390
480	0,007546
490	0,007707
500	0,007838
510	0,008006
520	0,008140
530	0,008309
540	0,008425
550	0,008628
560	0,008768
570	0,008945
580	0,009090
590	0,009266
600	0,009381
610	0,009563
620	0,009712
630	0,009849
640	0,010040
650	0,010203
660	0,010340
670	0,010555
680	0,010644
690	0,010666
700	0,010552
710	0,010711
720	0,010867
730	0,011221
740	0,011404
750	0,011533
760	0,011672
770	0,011860
780	0,012004
790	0,011927
800	0,012044
810	0,012199
820	0,012370
830	0,012547
840	0,013165
850	0,013387
860	0,013511
870	0,013681
880	0,013800
890	0,014002
900	0,014062
910	0,014288
920	0,014407
930	0,014575
940	0,014721
950	0,014877
960	0,015017
970	0,015223
980	0,015358
990	0,015548
1000	0,015639
1010	0,015815
1020	0,015984
1030	0,016104
1040	0,016302
1050	0,016415
1060	0,016562
1070	0,016774
1080	0,016919
1090	0,017074
1100	0,017146
1110	0,017342
1120	0,017507
1130	0,017005
1140	0,017145
1150	0,017321
1160	0,017427
1170	0,017576
1180	0,017739
1190	0,018643
1200	0,018779
1210	0,018987
1220	0,019056
1230	0,019303
1240	0,019411
1250	0,019574
1260	0,019732
1270	0,019894
1280	0,020086
1290	0,020218
1300	0,020398
1310	0,020534
1320	0,020688
1330	0,020833
1340	0,021010
1350	0,021148
1360	0,021323
1370	0,021509
1380	0,021601
1390	0,021737
1400	0,021922
1410	0,021234
1420	0,021418
1430	0,021494
1440	0,021699
1450	0,021872
1460	0,022906
1470	0,023032
1480	0,023121
1490	0,023279
1500	0,023457
1510	0,023633
1520	0,023814
1530	0,023995
1540	0,024154
1550	0,024287
1560	0,024462
1570	0,024596
1580	0,024767
1590	0,024939
1600	0,025104
1610	0,025294
1620	0,025385
1630	0,025478
1640	0,024625
1650	0,024792
1660	0,024930
1670	0,025095
1680	0,026369
1690	0,026534
1700	0,026579
1710	0,026828
1720	0,027006
1730	0,027200
1740	0,027332
1750	0,027429
1760	0,027560
1770	0,027740
1780	0,027856
1790	0,028073
1800	0,028219
1810	0,028381
1820	0,028549
1830	0,028729
1840	0,027687
1850	0,027841
1860	0,027971
1870	0,028108
1880	0,029506
1890	0,029605
1900	0,029750
1910	0,029917
1920	0,030105
1930	0,030201
1940	0,030497
1950	0,030541
1960	0,030747
1970	0,030784
1980	0,031024
1990	0,031133
2000	0,031400
2010	0,031525
2020	0,030617
2030	0,030498
2040	0,031521
2050	0,032757
2060	0,032260
2070	0,032395
2080	0,032636
2090	0,032734
2100	0,032897
2110	0,032958
2120	0,033176
2130	0,033340
2140	0,033412
2150	0,033624
2160	0,033882
2170	0,032659
2180	0,032756
2190	0,032867
2200	0,033193
2210	0,033281
2220	0,034764
2230	0,034909
2240	0,035058
2250	0,035310
2260	0,035491
2270	0,035564
2280	0,035733
2290	0,035920
2300	0,035967
2310	0,036251
2320	0,036328
2330	0,036468
2340	0,036711
2350	0,035441
2360	0,035503
2370	0,035722
2380	0,037321
2390	0,037399
2400	0,037613
2410	0,037773
2420	0,037906
2430	0,038178
2440	0,038212
2450	0,038409
2460	0,038604
2470	0,038726
2480	0,038932
2490	0,037658
2500	0,037733
2510	0,037730
2520	0,039514
2530	0,039638
2540	0,039831
2550	0,039969
2560	0,040103
2570	0,040231
2580	0,040376
2590	0,040579
2600	0,040657
2610	0,040878
2620	0,041008
2630	0,039677
2640	0,039750
2650	0,040014
2660	0,041645
2670	0,041888
2680	0,041879
2690	0,042107
2700	0,042245
2710	0,042457
2720	0,042527
2730	0,042810
2740	0,042973
2750	0,043115
2760	0,041530
2770	0,041674
2780	0,041863
2790	0,043693
2800	0,043825
2810	0,044041
2820	0,044181
2830	0,044367
2840	0,044454
2850	0,044734
2860	0,044826
2870	0,045013
2880	0,045164
2890	0,043536
2900	0,043693
2910	0,045561
2920	0,045775
2930	0,045936
2940	0,046116
2950	0,046312
2960	0,046387
2970	0,046541
2980	0,046677
2990	0,046128
3000	0,045304
3010	0,045450
3020	0,045481
3030	0,047417
3040	0,047599
3050	0,047675
3060	0,047944
3070	0,048224
3080	0,048318
3090	0,048447
3100	0,048645
3110	0,048860
3120	0,047121
3130	0,047211
3140	0,049145
3150	0,049369
3160	0,049534
3170	0,049686
3180	0,049817
3190	0,049878
3200	0,050067
3210	0,050214
3220	0,050329
3230	0,048741
3240	0,048779
3250	0,050900
3260	0,051203
3270	0,051333
3280	0,051436
3290	0,051649
3300	0,051684
3310	0,051807
3320	0,052029
3330	0,052184
3340	0,050402
3350	0,050453
3360	0,052612
3370	0,052807
3380	0,053032
3390	0,053126
3400	0,053246
3410	0,053386
3420	0,053615
3430	0,053708
3440	0,051934
3450	0,051934
3460	0,054211
3470	0,054415
3480	0,054530
3490	0,054582
3500	0,054873
3510	0,054913
3520	0,055050
3530	0,055301
3540	0,054159
3550	0,053363
3560	0,055814
3570	0,057126
3580	0,055901
3590	0,056183
3600	0,056344
3610	0,056453
3620	0,056703
3630	0,054650
3640	0,054821
3650	0,055063
3660	0,057447
3670	0,057461
3680	0,057630
3690	0,057706
3700	0,057883
3710	0,058088
3720	0,058355
3730	0,058396
3740	0,056239
3750	0,056412
3760	0,058985
3770	0,059101
3780	0,059322
3790	0,059320
3800	0,059470
3810	0,059580
3820	0,059813
3830	0,057729
3840	0,057726
3850	0,060283
3860	0,060753
3870	0,060766
3880	0,060758
3890	0,061001
3900	0,060924
3910	0,061186
3920	0,059051
3930	0,059259
3940	0,061652
3950	0,061957
3960	0,062023
3970	0,062248
3980	0,062313
3990	0,062544
4000	0,062575
4010	0,060363
4020	0,060501
4030	0,063202
4040	0,063287
4050	0,063384
4060	0,063516
4070	0,063699
4080	0,063861
4090	0,064029
4100	0,061687
4110	0,062291
4120	0,064700
4130	0,064732
4140	0,064808
4150	0,064949
4160	0,065064
4170	0,063107
4180	0,062908
4190	0,063089
4200	0,065802
4210	0,066030
4220	0,066265
4230	0,066294
4240	0,066332
4250	0,066660
4260	0,066693
4270	0,064339
4280	0,067249
4290	0,067312
4300	0,067350
4310	0,067578
4320	0,067644
4330	0,067835
4340	0,067830
4350	0,065523
4360	0,066409
4370	0,068527
4380	0,068729
4390	0,068869
4400	0,068962
4410	0,069117
4420	0,069090
4430	0,066773
4440	0,067485
4450	0,069794
4460	0,069973
4470	0,069955
4480	0,070171
4490	0,070358
4500	0,070559
4510	0,067996
4520	0,070931
4530	0,071041
4540	0,071333
4550	0,071493
4560	0,071692
4570	0,071815
4580	0,071830
4590	0,070912
4600	0,072208
4610	0,072236
4620	0,072556
4630	0,072550
4640	0,072742
4650	0,070236
4660	0,069997
4670	0,070362
4680	0,073270
4690	0,073437
4700	0,073711
4710	0,073889
4720	0,073855
4730	0,074135
4740	0,071281
4750	0,074333
4760	0,074593
4770	0,074669
4780	0,074890
4790	0,075155
4800	0,075273
4810	0,072538
4820	0,073053
4830	0,075796
4840	0,076152
4850	0,076244
4860	0,076193
4870	0,076230
4880	0,073922
4890	0,073838
4900	0,076849
4910	0,076975
4920	0,077168
4930	0,077465
4940	0,077553
4950	0,076956
4960	0,074673
4970	0,078205
4980	0,078233
4990	0,078328
5000	0,078388

Storage: restore_data_db_without_dict
Data	Execution time
1	0,000013
10	0,000129
20	0,000258
30	0,000386
40	0,000515
50	0,000640
60	0,000770
70	0,000896
80	0,001026
90	0,001156
100	0,001284
110	0,001413
120	0,001547
130	0,001673
140	0,001823
150	0,001938
160	0,002067
170	0,002195
180	0,002326
190	0,002448
200	0,002603
210	0,002721
220	0,002845
230	0,002977
240	0,003131
250	0,003242
260	0,003382
270	0,003480
280	0,003625
290	0,003764
300	0,003871
310	0,004028
320	0,004158
330	0,004259
340	0,004403
350	0,004530
360	0,004659
370	0,004779
380	0,004911
390	0,005054
400	0,005178
410	0,005300
420	0,005430
430	0,005560
440	0,005723
450	0,005802
460	0,005945
470	0,006056
480	0,006218
490	0,006311
500	0,006447
510	0,006618
520	0,006713
530	0,006821
540	0,006966
550	0,007118
560	0,007220
570	0,007328
580	0,007458
590	0,007612
600	0,007716
610	0,007881
620	0,007987
630	0,008140
640	0,008234
650	0,008365
660	0,008516
