Storage: restore_data_db_with_dict
Data	Execution time
1	0,000016
10	0,000028
20	0,000041
30	0,000054
40	0,000068
50	0,000079
60	0,000092
70	0,000106
80	0,000118
90	0,000131
100	0,000144
110	0,000157
120	0,000170
130	0,000181
140	0,000197
150	0,000208
160	0,000220
170	0,000234
180	0,000247
190	0,000259
200	0,000274
210	0,000285
220	0,000299
230	0,000312
240	0,000324
250	0,000344
260	0,000350
270	0,000364
280	0,000378
290	0,000390
300	0,000406
310	0,000415
320	0,000430
330	0,000441
340	0,000452
350	0,000466
360	0,000478
370	0,000494
380	0,000505
390	0,000522
400	0,000532
410	0,000543
420	0,000556
430	0,000571
440	0,000584
450	0,000599
460	0,000612
470	0,000632
480	0,000633
490	0,000655
500	0,000659
510	0,000675
520	0,000691
530	0,000706
540	0,000711
550	0,000728
560	0,000736
570	0,000754
580	0,000767
590	0,000773
600	0,000787
610	0,000798
620	0,000819
630	0,000826
640	0,000842
650	0,000855
660	0,000864
670	0,000895
680	0,000894
690	0,000907
700	0,000917
710	0,000932
720	0,000948
730	0,000952
740	0,000973
750	0,000984
760	0,000997
770	0,001009
780	0,001025
790	0,001041
800	0,001046
810	0,001065
820	0,001076
830	0,001087
840	0,001096
850	0,001108
860	0,001131
870	0,001139
880	0,001151
890	0,001169
900	0,001177
910	0,001192
920	0,001204
930	0,001221
940	0,001246
950	0,001245
960	0,001255
970	0,001266
980	0,001313
990	0,001305
1000	0,001308
1010	0,001319
1020	0,001339
1030	0,001345
1040	0,001358
1050	0,001373
1060	0,001390
1070	0,001402
1080	0,001405
1090	0,001421
1100	0,001433
1110	0,001447
1120	0,001460
1130	0,001483
1140	0,001491
1150	0,001511
1160	0,001516
1170	0,001527
1180	0,001536
1190	0,001557
1200	0,001565
1210	0,001577
1220	0,001633
1230	0,001636
1240	0,001641
1250	0,001636
1260	0,001638
1270	0,001664
1280	0,001670
1290	0,001678
1300	0,001690
1310	0,001706
1320	0,001715
1330	0,001729
1340	0,001745
1350	0,001755
1360	0,001765
1370	0,001795
1380	0,001801
1390	0,001800
1400	0,001858
1410	0,001840
1420	0,001852
1430	0,001871
1440	0,001875
1450	0,001895
1460	0,001903
1470	0,001922
1480	0,001943
1490	0,001941
1500	0,001963
1510	0,001974
1520	0,001982
1530	0,002005
1540	0,002006
1550	0,002070
1560	0,002042
1570	0,002084
1580	0,002063
1590	0,002086
1600	0,002077
1610	0,002114
1620	0,002117
1630	0,002124
1640	0,002169
1650	0,002151
1660	0,002169
1670	0,002167
1680	0,002186
1690	0,002194
1700	0,002218
1710	0,002217
1720	0,002240
1730	0,002307
1740	0,002260
1750	0,002275
1760	0,002288
1770	0,002298
1780	0,002322
1790	0,002339
1800	0,002341
1810	0,002353
1820	0,002372
1830	0,002388
1840	0,002401
1850	0,002406
1860	0,002412
1870	0,002425
1880	0,002445
1890	0,002471
1900	0,002785
1910	0,002775
1920	0,002792
1930	0,002810
1940	0,002823
1950	0,002833
1960	0,002869
1970	0,002879
1980	0,002886
1990	0,002902
2000	0,002920
2010	0,002942
2020	0,002952
2030	0,002985
2040	0,002971
2050	0,003001
2060	0,003008
2070	0,003014
2080	0,003036
2090	0,003057
2100	0,003053
2110	0,003095
2120	0,003094
2130	0,003091
2140	0,002785
2150	0,002871
2160	0,002821
2170	0,002814
2180	0,002856
2190	0,002840
2200	0,002857
2210	0,002891
2220	0,002877
2230	0,002898
2240	0,002917
2250	0,002926
2260	0,002968
2270	0,002954
2280	0,002961
2290	0,002989
2300	0,002993
2310	0,002999
2320	0,003008
2330	0,003029
2340	0,003050
2350	0,003046
2360	0,003068
2370	0,003091
2380	0,003095
2390	0,003100
