Storage: persist_data_with_dict
Data	Execution time
1	0,011163
10	0,011179
20	0,011216
30	0,011318
40	0,011511
50	0,012249
60	0,011804
70	0,011859
80	0,012017
90	0,016714
100	0,017061
110	0,017384
120	0,017259
130	0,017628
140	0,017666
150	0,017861
160	0,018019
170	0,018068
180	0,018422
190	0,018705
200	0,018877
210	0,018930
220	0,018953
230	0,019258
240	0,020550
250	0,020442
260	0,023028
270	0,024450
280	0,019874
290	0,020050
300	0,027946
310	0,020451
320	0,020297
330	0,020740
340	0,020460
350	0,020455
360	0,020481
370	0,020720
380	0,021185
390	0,020824
400	0,020680
410	0,020882
420	0,020973
430	0,029284
440	0,020881
450	0,021138
460	0,021527
470	0,020888
480	0,022992
490	0,021194
500	0,021173
510	0,021577
520	0,021266
530	0,021684
540	0,021711
550	0,021671
560	0,023157
570	0,021788
580	0,021182
590	0,021869
600	0,021134
610	0,021104
620	0,021348
630	0,021356
640	0,021354
650	0,027487
660	0,021226
670	0,021585
680	0,021594
690	0,021601
700	0,021275
710	0,021427
720	0,021620
730	0,021331
740	0,021804
750	0,021718
760	0,021751
770	0,022606
780	0,022019
790	0,021980
800	0,027839
810	0,022000
820	0,022046
830	0,022712
840	0,021956
850	0,022437
860	0,022468
870	0,022913
880	0,022590
890	0,022199
900	0,029418
910	0,022372
920	0,022806
930	0,022302
940	0,022287
950	0,022695
960	0,022464
970	0,022654
980	0,022667
990	0,022279
1000	0,022566
1010	0,023599
1020	0,022770
1030	0,022600
1040	0,022721
1050	0,022629
1060	0,022883
1070	0,025721
1080	0,023102
1090	0,022810
1100	0,022537
1110	0,032996
1120	0,023062
1130	0,022878
1140	0,022714
1150	0,022889
1160	0,023069
1170	0,023071
1180	0,023375
1190	0,023058
1200	0,023367
1210	0,023420
1220	0,023387
1230	0,023202
1240	0,023396
1250	0,024144
1260	0,023554
1270	0,023405
1280	0,023276
1290	0,023475
1300	0,023599
1310	0,023620
1320	0,023716
1330	0,025463
1340	0,031315
1350	0,023596
1360	0,023705
1370	0,023932
1380	0,023380
1390	0,023818
1400	0,023702
1410	0,023390
1420	0,023619
1430	0,023516
1440	0,023888
1450	0,024329
1460	0,023931
1470	0,024165
1480	0,023795
1490	0,024298
1500	0,023721
1510	0,024316
1520	0,024296
1530	0,024282
1540	0,024213
1550	0,024295
1560	0,025561
1570	0,024405
1580	0,024503
1590	0,024560
1600	0,024600
1610	0,024304
1620	0,024558
1630	0,025086
1640	0,024868
1650	0,024922
1660	0,024901
1670	0,024641
1680	0,024910
1690	0,024794
1700	0,024692
1710	0,024702
1720	0,026300
1730	0,025168
1740	0,024917
1750	0,025331
1760	0,025023
1770	0,024905
1780	0,025252
1790	0,025536
1800	0,025028
1810	0,026040
1820	0,025054
1830	0,025582
1840	0,025629
1850	0,025258
1860	0,025757
1870	0,025616
1880	0,025349
1890	0,026078
1900	0,025666
1910	0,025651
1920	0,025669
1930	0,025688
1940	0,025835
1950	0,025778
1960	0,025596
1970	0,025413
1980	0,025868
1990	0,025732
2000	0,025456
2010	0,026329
2020	0,028885
2030	0,025929
2040	0,025827
2050	0,026099
2060	0,030932
2070	0,026099
2080	0,026059
2090	0,026109
2100	0,025917
2110	0,026480
2120	0,026314
2130	0,026352
2140	0,026149
2150	0,026574
2160	0,026153
2170	0,026628
2180	0,031592
2190	0,035026
2200	0,027256
2210	0,026647
2220	0,026612
2230	0,026897
2240	0,026616
2250	0,027151
2260	0,027328
2270	0,027002
2280	0,026653
2290	0,027209
2300	0,026709
2310	0,027020
2320	0,027394
2330	0,035028
2340	0,026936
2350	0,026864
2360	0,026825
2370	0,027189
2380	0,027573
2390	0,027443
2400	0,027090
2410	0,027230
2420	0,027255
2430	0,027300
2440	0,027246
2450	0,027197
2460	0,027496
2470	0,027708
2480	0,027448
2490	0,027167
2500	0,027020
2510	0,027439
2520	0,028723
2530	0,027489
2540	0,027642
2550	0,027891
2560	0,027726
2570	0,027585
2580	0,028176
2590	0,027885
2600	0,027836
2610	0,027951
2620	0,027684
2630	0,028023
2640	0,028296
2650	0,031862
2660	0,027964
2670	0,028177
2680	0,028198
2690	0,028453
2700	0,032350
2710	0,028547
2720	0,028325
2730	0,028226
2740	0,028194
2750	0,028549
2760	0,031240
2770	0,028701
2780	0,028677
2790	0,028844
2800	0,028503
2810	0,028407
2820	0,028526
2830	0,028873
2840	0,029299
2850	0,028286
2860	0,028368
2870	0,028774
2880	0,029329
2890	0,029157
2900	0,035041
2910	0,029311
2920	0,029525
2930	0,029268
2940	0,029421
2950	0,029279
2960	0,055141
2970	0,055449
2980	0,057399
2990	0,056545
3000	0,057240
3010	0,055341
3020	0,057926
3030	0,057267
3040	0,057361
3050	0,057612
3060	0,059846
3070	0,056304
3080	0,057191
3090	0,056310
3100	0,056264
3110	0,056823
3120	0,060826
3130	0,029580
3140	0,030125
3150	0,030069
3160	0,030248
3170	0,030000
3180	0,030096
3190	0,029968
3200	0,029821
3210	0,030037
3220	0,030293
3230	0,029900
3240	0,030400
3250	0,030210
3260	0,030238
3270	0,030191
3280	0,030270
3290	0,030320
3300	0,030075
3310	0,032108
3320	0,030245
3330	0,029843
3340	0,030451
3350	0,030577
3360	0,031084
3370	0,030482
3380	0,030354
3390	0,030360
3400	0,030245
3410	0,036265
3420	0,030844
3430	0,030580
3440	0,030696
3450	0,030416
3460	0,026203
3470	0,026239
3480	0,030400
3490	0,030676
3500	0,030985
3510	0,036651
3520	0,031220
3530	0,031055
3540	0,030565
3550	0,031457
3560	0,031187
3570	0,031440
3580	0,032232
3590	0,034761
3600	0,031301
3610	0,031581
3620	0,031507
3630	0,031310
3640	0,039673
3650	0,031454
3660	0,031369
3670	0,031518
3680	0,031531
3690	0,031745
3700	0,031674
3710	0,031701
3720	0,032385
3730	0,042660
3740	0,031941
3750	0,031650
3760	0,032158
3770	0,031553
3780	0,031764
3790	0,032137
3800	0,032002
3810	0,032069
3820	0,031672
3830	0,032685
3840	0,031968
3850	0,032113
3860	0,032875
3870	0,032002
3880	0,032016
3890	0,032248
3900	0,032383
3910	0,032244
3920	0,033181
3930	0,032015
3940	0,032935
3950	0,032740
3960	0,033537
3970	0,033498
3980	0,033162
3990	0,033115
4000	0,032539
4010	0,033184
4020	0,033193
4030	0,032571
4040	0,033374
4050	0,033372
4060	0,032610
4070	0,033239
4080	0,033929
4090	0,033599
4100	0,032698
4110	0,033750
4120	0,032769
4130	0,033608
4140	0,033684
4150	0,033147
4160	0,032788
4170	0,033309
4180	0,032709
4190	0,032728
4200	0,033406
4210	0,033706
4220	0,033271
4230	0,033947
4240	0,033566
4250	0,033091
4260	0,034385
4270	0,034765
4280	0,034112
4290	0,033729
4300	0,033627
4310	0,034023
4320	0,034549
4330	0,034187
