Storage: persist_data_with_dict
Data	Execution time
1	0,012757
10	0,011393
20	0,011376
30	0,019701
40	0,011794
50	0,011718
60	0,011860
70	0,011864
80	0,016071
90	0,016670
100	0,024924
110	0,017323
120	0,017385
130	0,017599
140	0,019851
150	0,017751
160	0,018091
170	0,018246
180	0,018403
190	0,018541
200	0,018779
210	0,019069
220	0,018963
230	0,019249
240	0,022155
250	0,019760
260	0,019828
270	0,019906
280	0,019853
290	0,020075
300	0,023563
310	0,020318
320	0,020223
330	0,033793
340	0,030995
350	0,020065
360	0,020400
370	0,020784
380	0,020660
390	0,020563
400	0,020518
410	0,020417
420	0,020333
430	0,020887
440	0,020807
450	0,020552
460	0,021161
470	0,020695
480	0,020919
490	0,021110
500	0,021363
510	0,021534
520	0,021449
530	0,020996
540	0,021518
550	0,021112
560	0,021585
570	0,020991
580	0,021865
590	0,021647
600	0,021432
610	0,020989
620	0,024935
630	0,021299
640	0,023734
650	0,021189
660	0,021574
670	0,021416
680	0,021424
690	0,021394
700	0,021497
710	0,021237
720	0,021609
730	0,021623
740	0,021826
750	0,021255
760	0,021700
770	0,022343
780	0,022212
790	0,022029
800	0,022071
810	0,021735
820	0,022881
830	0,026368
840	0,022180
850	0,022224
860	0,022582
870	0,022067
880	0,022416
890	0,022498
900	0,022108
910	0,022138
920	0,022570
930	0,024172
940	0,027126
950	0,022452
960	0,022143
970	0,022866
980	0,022616
990	0,022461
1000	0,023029
1010	0,022827
1020	0,022924
1030	0,022565
1040	0,022730
1050	0,022967
1060	0,024789
1070	0,022937
1080	0,022959
1090	0,023139
1100	0,023097
1110	0,026617
1120	0,022998
1130	0,023043
1140	0,023588
1150	0,023056
1160	0,029563
1170	0,032478
1180	0,023038
1190	0,023579
1200	0,023435
1210	0,023290
1220	0,024031
1230	0,023074
1240	0,023198
1250	0,023150
1260	0,023534
1270	0,023421
1280	0,023415
1290	0,023623
1300	0,023571
1310	0,023427
1320	0,023474
1330	0,023395
1340	0,023748
1350	0,023836
1360	0,024132
1370	0,023812
1380	0,023997
1390	0,024065
1400	0,024624
1410	0,023834
1420	0,024190
1430	0,024544
1440	0,023912
1450	0,024265
1460	0,024124
1470	0,025779
1480	0,024102
1490	0,024483
1500	0,024213
1510	0,024369
1520	0,024192
1530	0,024353
1540	0,024499
