Storage: find_old_values_to_store
Data	Execution time
1	0,005887
10	0,005907
20	0,005895
30	0,005899
40	0,005894
50	0,005902
60	0,005899
70	0,005922
80	0,005898
90	0,005900
100	0,005895
110	0,005899
120	0,005902
130	0,005905
140	0,005896
150	0,005900
160	0,005903
170	0,005909
180	0,005900
190	0,005877
200	0,005909
210	0,005904
220	0,005915
230	0,005911
240	0,005891
250	0,005904
260	0,005909
270	0,005902
280	0,005883
290	0,005903
300	0,005907
310	0,005897
320	0,005891
330	0,005895
340	0,005907
350	0,005872
360	0,005910
370	0,005894
380	0,005882
390	0,005885
400	0,005894
410	0,005905
420	0,005910
430	0,005909
440	0,005902
450	0,005905
460	0,005945
470	0,005885
480	0,005887
490	0,005897
500	0,005936
510	0,005912
520	0,005912
530	0,005907
540	0,005914
550	0,005899
560	0,005899
570	0,005922
580	0,005887
590	0,005919
600	0,005900
610	0,005988
620	0,005890
630	0,005919
640	0,005884
650	0,005905
660	0,005896
670	0,005900
680	0,005902
690	0,005910
700	0,005927
710	0,005894
720	0,005886
730	0,005893
740	0,005939
750	0,005903
760	0,005904
770	0,005903
780	0,005905
790	0,005895
800	0,005915
810	0,005910
820	0,005900
830	0,005888
840	0,005921
850	0,005896
860	0,005888
870	0,005907
880	0,005883
890	0,005901
900	0,005893
910	0,005902
920	0,005899
930	0,005973
940	0,005930
950	0,005887
960	0,005888
970	0,005903
980	0,005899
990	0,005898
1000	0,005886
1010	0,005923
1020	0,005899
1030	0,005896
1040	0,005899
1050	0,005896
1060	0,005880
1070	0,005901
1080	0,005897
1090	0,005889
1100	0,005959
1110	0,005901
1120	0,005917
1130	0,005907
1140	0,005906
1150	0,005906
1160	0,005885
1170	0,005907
1180	0,005925
1190	0,005892
1200	0,005895
1210	0,005920
1220	0,005898
1230	0,005889
1240	0,005901
1250	0,005912
1260	0,005908
1270	0,005902
1280	0,005892
1290	0,005887
1300	0,005916
1310	0,005917
1320	0,005906
1330	0,005893
1340	0,005846
1350	0,005891
1360	0,005904
1370	0,005901
1380	0,005909
1390	0,005913
1400	0,005868
1410	0,005890
1420	0,005907
1430	0,005889
1440	0,005899
1450	0,005901
1460	0,005896
1470	0,005903
1480	0,005901
1490	0,005904
1500	0,005918
1510	0,005903
1520	0,005907
1530	0,005923
1540	0,005938
1550	0,005908
1560	0,005867
1570	0,005886
1580	0,005903
1590	0,005885
1600	0,005943
1610	0,005910
1620	0,005907
1630	0,005866
1640	0,005915
1650	0,005864
1660	0,005894
1670	0,005892
1680	0,005906
1690	0,005897
1700	0,005897
1710	0,005914
1720	0,005882
1730	0,005901
1740	0,005901
1750	0,005903
1760	0,005921
1770	0,005878
1780	0,005911
1790	0,005901
1800	0,005906
1810	0,005896
1820	0,005911
1830	0,005888
1840	0,005879
1850	0,005879
1860	0,005884
1870	0,005887
1880	0,005897
1890	0,005889
1900	0,005894
1910	0,005885
1920	0,005900
1930	0,005900
1940	0,005889
1950	0,005871
1960	0,005911
1970	0,005905
1980	0,005879
1990	0,005879
2000	0,005866
2010	0,005912
2020	0,005838
2030	0,005921
2040	0,005898
2050	0,005926
2060	0,005906
2070	0,005890
2080	0,005890
2090	0,005897
2100	0,005887
2110	0,005918
2120	0,005901
2130	0,005896
2140	0,005885
2150	0,005919
2160	0,005874
2170	0,005878
2180	0,005902
2190	0,005877
2200	0,005899
2210	0,005876
2220	0,005868
2230	0,005891
2240	0,005910
2250	0,005910
2260	0,005890
2270	0,005896
2280	0,005927
2290	0,005912
2300	0,005899
2310	0,005893
2320	0,005909
2330	0,005875
2340	0,005877
2350	0,005885
2360	0,005907
2370	0,005895
2380	0,005918
2390	0,005920
2400	0,005906
2410	0,005913
2420	0,005913
2430	0,005905
2440	0,005912
2450	0,005896
2460	0,005903
2470	0,005892
2480	0,005865
2490	0,005924
2500	0,005891
2510	0,005903
2520	0,005879
2530	0,005829
2540	0,005875
2550	0,005929
2560	0,005840
2570	0,005909
2580	0,005887
2590	0,005906
2600	0,005897
2610	0,005911
2620	0,005911
2630	0,005909
2640	0,005908
2650	0,005909
2660	0,005910
2670	0,005933
2680	0,005887
2690	0,005905
2700	0,005752
2710	0,005903
2720	0,005908
2730	0,005913
2740	0,005906
2750	0,005910
2760	0,005903
2770	0,005846
2780	0,005887
2790	0,005878
2800	0,005898
2810	0,005872
2820	0,005899
2830	0,005901
2840	0,005882
2850	0,005908
2860	0,005911
2870	0,005913
2880	0,005888
2890	0,005910
2900	0,005898
2910	0,005862
2920	0,005884
2930	0,005900
2940	0,005894
2950	0,005877
2960	0,005884
2970	0,005894
2980	0,005919
2990	0,005895
3000	0,005907
3010	0,005894
3020	0,005896
3030	0,005908
3040	0,005889
3050	0,005872
3060	0,005895
3070	0,005918
3080	0,005908
3090	0,005902
3100	0,005900
3110	0,005911
3120	0,005902
3130	0,005892
3140	0,005911
3150	0,005916
3160	0,005898
3170	0,005901
3180	0,005898
3190	0,005887
3200	0,005891
3210	0,005866
3220	0,005829
3230	0,005904
3240	0,005825
3250	0,005759
3260	0,005897
3270	0,005904
3280	0,005888
3290	0,005901
3300	0,005901
3310	0,005911
3320	0,005897
3330	0,005901
3340	0,005903
3350	0,005900
3360	0,005894
3370	0,005900
3380	0,005898
3390	0,005913
3400	0,005910
3410	0,005880
3420	0,005895
3430	0,005905
3440	0,005908
3450	0,005891
3460	0,005900
3470	0,005807
3480	0,005896
3490	0,005726
3500	0,005895
3510	0,005834
3520	0,005902
3530	0,005897
3540	0,005897
3550	0,005577
3560	0,005726
3570	0,005896
3580	0,005873
3590	0,005899
3600	0,005608
3610	0,005870
3620	0,005660
3630	0,005889
3640	0,005842
3650	0,005724
3660	0,005690
3670	0,005766
3680	0,005445
3690	0,005563
3700	0,005768
3710	0,005673
3720	0,005732
3730	0,005611
3740	0,005543
3750	0,005654
3760	0,005534
3770	0,005685
3780	0,005547
3790	0,005298
3800	0,005438
3810	0,005635
