Storage: insert_in_one_dict
Data	Execution time
1	0,000013
10	0,000022
20	0,000034
30	0,000048
40	0,000055
50	0,000070
60	0,000079
70	0,000089
80	0,000100
90	0,000117
100	0,000127
110	0,000137
120	0,000136
130	0,000156
140	0,000155
150	0,000176
160	0,000185
170	0,000197
180	0,000211
190	0,000221
200	0,000228
210	0,000239
220	0,000249
230	0,000259
240	0,000273
250	0,000278
260	0,000294
270	0,000290
280	0,000314
290	0,000304
300	0,000313
310	0,000323
320	0,000346
330	0,000366
340	0,000374
350	0,000390
360	0,000388
370	0,000398
380	0,000403
390	0,000411
400	0,000447
410	0,000458
420	0,000471
430	0,000481
440	0,000488
450	0,000507
460	0,000487
470	0,000522
480	0,000535
490	0,000547
500	0,000557
510	0,000537
520	0,000572
530	0,000587
540	0,000595
550	0,000572
560	0,000621
570	0,000634
580	0,000641
590	0,000661
600	0,000657
610	0,000675
620	0,000646
630	0,000672
640	0,000701
650	0,000719
660	0,000687
670	0,000737
680	0,000749
690	0,000779
700	0,000763
710	0,000801
720	0,000771
730	0,000791
740	0,000794
750	0,000795
760	0,000806
770	0,000815
780	0,000826
790	0,000835
800	0,000851
810	0,000852
820	0,000869
830	0,000878
840	0,000933
850	0,000953
860	0,000955
870	0,000966
880	0,000977
890	0,000992
900	0,001006
910	0,001015
920	0,001019
930	0,001034
940	0,001056
950	0,001054
960	0,001068
970	0,001020
980	0,001036
990	0,001076
1000	0,001110
1010	0,001118
1020	0,001116
1030	0,001132
1040	0,001171
1050	0,001162
1060	0,001197
1070	0,001191
1080	0,001191
1090	0,001167
1100	0,001163
1110	0,001224
1120	0,001175
1130	0,001247
1140	0,001189
1150	0,001280
1160	0,001280
1170	0,001285
1180	0,001316
1190	0,001311
1200	0,001317
1210	0,001330
1220	0,001351
1230	0,001351
1240	0,001361
1250	0,001378
1260	0,001415
1270	0,001391
1280	0,001406
1290	0,001426
1300	0,001449
1310	0,001431
1320	0,001448
1330	0,001457
1340	0,001481
1350	0,001478
1360	0,001455
1370	0,001478
1380	0,001540
1390	0,001570
1400	0,001584
1410	0,001516
1420	0,001511
1430	0,001531
1440	0,001537
1450	0,001558
1460	0,001654
1470	0,001566
1480	0,001681
1490	0,001594
1500	0,001605
1510	0,001664
1520	0,001696
1530	0,001719
1540	0,001740
1550	0,001737
1560	0,001745
1570	0,001768
1580	0,001685
1590	0,001789
1600	0,001731
1610	0,001819
1620	0,001823
1630	0,001827
1640	0,001841
1650	0,001804
1660	0,001874
1670	0,001886
1680	0,001888
1690	0,001889
1700	0,001798
1710	0,001818
1720	0,001827
1730	0,001843
1740	0,001845
1750	0,001851
1760	0,001865
1770	0,001879
1780	0,001890
1790	0,001990
1800	0,002014
1810	0,002023
1820	0,002016
1830	0,001927
1840	0,002050
1850	0,001974
1860	0,001974
1870	0,002079
1880	0,001999
1890	0,002018
1900	0,002171
1910	0,002111
1920	0,002128
1930	0,002049
1940	0,002077
1950	0,002159
1960	0,002174
1970	0,002187
1980	0,002197
1990	0,002217
2000	0,002227
2010	0,002129
2020	0,002281
2030	0,002272
2040	0,002163
2050	0,002158
2060	0,002300
2070	0,002300
2080	0,002306
2090	0,002203
2100	0,002352
2110	0,002380
2120	0,002344
2130	0,002356
2140	0,002388
2150	0,002394
2160	0,002367
2170	0,002432
2180	0,002310
2190	0,002407
2200	0,002423
2210	0,002468
2220	0,002488
2230	0,002467
2240	0,002489
2250	0,002413
2260	0,002439
2270	0,002505
2280	0,002467
2290	0,002560
2300	0,002416
2310	0,002564
2320	0,002569
2330	0,002593
2340	0,002600
2350	0,002603
2360	0,002607
2370	0,002495
2380	0,002501
2390	0,002629
2400	0,002673
2410	0,002576
2420	0,002545
2430	0,002715
2440	0,002685
2450	0,002703
2460	0,002754
2470	0,002615
2480	0,002624
2490	0,002624
2500	0,002780
2510	0,002795
2520	0,002815
2530	0,002802
2540	0,002807
2550	0,002692
2560	0,002684
2570	0,002866
2580	0,002854
2590	0,002805
2600	0,002882
2610	0,002865
2620	0,002919
2630	0,002914
2640	0,002910
2650	0,002930
2660	0,002934
2670	0,002963
2680	0,002988
2690	0,002850
2700	0,002988
2710	0,002998
2720	0,002988
2730	0,003005
2740	0,003252
2750	0,003136
2760	0,002985
2770	0,003309
2780	0,003164
2790	0,003265
2800	0,003166
2810	0,003329
2820	0,003178
2830	0,003350
2840	0,003067
2850	0,003393
2860	0,003249
2870	0,003390
2880	0,003244
2890	0,003445
2900	0,003271
2910	0,003455
2920	0,003271
2930	0,003402
2940	0,003153
2950	0,003512
2960	0,003341
2970	0,003533
2980	0,003377
2990	0,003555
3000	0,003378
3010	0,003590
3020	0,003418
3030	0,003598
3040	0,003410
3050	0,003470
3060	0,003455
3070	0,003479
3080	0,003446
3090	0,003505
3100	0,003497
3110	0,003497
3120	0,003509
3130	0,003524
3140	0,003400
3150	0,003704
3160	0,003388
3170	0,003668
3180	0,003499
3190	0,003579
3200	0,003605
3210	0,003773
3220	0,003645
3230	0,003765
3240	0,003643
3250	0,003827
3260	0,003662
3270	0,003887
3280	0,003693
3290	0,003880
3300	0,003770
3310	0,003920
3320	0,003748
3330	0,003925
3340	0,003771
3350	0,003932
3360	0,003792
3370	0,003949
3380	0,003799
3390	0,003958
3400	0,003814
3410	0,004003
3420	0,003848
3430	0,004024
3440	0,003848
3450	0,004035
3460	0,003676
3470	0,004032
3480	0,003697
3490	0,003872
3500	0,003919
3510	0,004089
3520	0,003738
3530	0,003935
3540	0,004019
3550	0,003949
3560	0,003981
3570	0,003946
3580	0,004018
3590	0,004160
3600	0,004026
3610	0,004204
3620	0,004048
3630	0,004215
3640	0,004080
3650	0,004062
3660	0,004000
3670	0,004282
3680	0,004108
3690	0,004293
3700	0,004124
3710	0,004292
3720	0,003957
3730	0,004134
3740	0,003978
3750	0,004156
3760	0,004017
3770	0,004187
3780	0,004017
3790	0,004282
3800	0,004134
3810	0,004445
3820	0,004272
3830	0,004446
3840	0,004329
3850	0,004265
3860	0,004106
3870	0,004296
3880	0,004201
3890	0,004296
3900	0,004354
3910	0,004307
3920	0,004144
3930	0,004461
3940	0,004421
3950	0,004565
3960	0,004397
3970	0,004582
3980	0,004250
3990	0,004592
4000	0,004450
4010	0,004438
4020	0,004499
4030	0,004436
