Storage: search_in_one_dict
Data	Execution time
1	0,000005
10	0,000013
20	0,000022
30	0,000033
40	0,000043
50	0,000062
60	0,000065
70	0,000073
80	0,000085
90	0,000101
100	0,000104
110	0,000110
120	0,000129
130	0,000136
140	0,000149
150	0,000158
160	0,000160
170	0,000170
180	0,000177
190	0,000198
200	0,000214
210	0,000214
220	0,000216
230	0,000230
240	0,000229
250	0,000253
260	0,000270
270	0,000265
280	0,000295
290	0,000280
300	0,000301
310	0,000297
320	0,000304
330	0,000327
340	0,000333
350	0,000351
360	0,000347
370	0,000388
380	0,000368
390	0,000395
400	0,000401
410	0,000409
420	0,000419
430	0,000390
440	0,000435
450	0,000454
460	0,000437
470	0,000471
480	0,000463
490	0,000459
500	0,000494
510	0,000509
520	0,000496
530	0,000492
540	0,000510
550	0,000523
560	0,000531
570	0,000536
580	0,000534
590	0,000573
600	0,000598
610	0,000610
620	0,000621
630	0,000609
640	0,000644
650	0,000629
660	0,000642
670	0,000660
680	0,000660
690	0,000678
700	0,000690
710	0,000696
720	0,000689
730	0,000690
740	0,000690
750	0,000692
760	0,000740
770	0,000749
780	0,000762
790	0,000778
800	0,000755
810	0,000761
820	0,000774
830	0,000824
840	0,000776
850	0,000815
860	0,000829
870	0,000866
880	0,000829
890	0,000822
900	0,000876
910	0,000875
920	0,000889
930	0,000868
940	0,000937
950	0,000925
960	0,000925
970	0,000899
980	0,000970
990	0,000927
1000	0,000944
1010	0,000983
1020	0,000990
1030	0,001008
1040	0,000971
1050	0,000979
1060	0,001055
1070	0,000993
1080	0,001015
1090	0,001015
1100	0,001020
1110	0,001034
1120	0,001045
1130	0,001047
1140	0,001143
1150	0,001131
1160	0,001123
1170	0,001150
1180	0,001142
1190	0,001166
1200	0,001135
1210	0,001111
1220	0,001153
1230	0,001209
1240	0,001195
1250	0,001237
1260	0,001228
1270	0,001219
1280	0,001207
1290	0,001269
1300	0,001202
1310	0,001234
1320	0,001298
1330	0,001241
1340	0,001294
1350	0,001346
1360	0,001267
1370	0,001332
1380	0,001255
1390	0,001376
1400	0,001402
1410	0,001273
1420	0,001334
1430	0,001385
1440	0,001424
1450	0,001412
1460	0,001398
1470	0,001441
1480	0,001449
1490	0,001455
1500	0,001407
1510	0,001468
1520	0,001432
1530	0,001502
1540	0,001500
1550	0,001474
1560	0,001515
1570	0,001447
1580	0,001535
1590	0,001511
1600	0,001595
1610	0,001552
1620	0,001589
1630	0,001512
1640	0,001599
1650	0,001601
1660	0,001574
1670	0,001676
1680	0,001669
1690	0,001584
1700	0,001597
1710	0,001640
1720	0,001664
1730	0,001709
1740	0,001640
1750	0,001712
1760	0,001684
1770	0,001711
1780	0,001729
1790	0,001669
1800	0,001768
1810	0,001712
1820	0,001753
1830	0,001703
1840	0,001788
1850	0,001728
1860	0,001753
1870	0,001764
1880	0,001855
1890	0,001767
1900	0,001793
1910	0,001841
1920	0,001879
1930	0,001910
1940	0,001889
1950	0,001882
1960	0,001915
1970	0,001871
1980	0,001941
1990	0,001845
2000	0,001959
2010	0,001927
2020	0,002024
2030	0,001986
2040	0,001953
2050	0,001904
2060	0,002024
2070	0,001909
2080	0,002016
2090	0,002019
2100	0,001933
2110	0,001934
2120	0,002023
2130	0,002040
2140	0,001984
2150	0,002122
2160	0,002125
2170	0,002091
2180	0,002046
2190	0,002125
2200	0,002033
2210	0,002134
2220	0,002131
2230	0,002184
2240	0,001172
2250	0,002164
2260	0,002171
2270	0,002096
2280	0,002091
2290	0,002240
2300	0,002254
2310	0,002246
2320	0,002190
2330	0,002259
2340	0,002252
2350	0,002177
2360	0,002301
2370	0,002273
2380	0,002240
2390	0,002322
2400	0,002243
2410	0,002260
2420	0,002236
2430	0,002268
2440	0,002232
2450	0,002262
2460	0,002269
2470	0,002269
2480	0,002301
2490	0,002304
2500	0,002293
2510	0,002322
2520	0,002363
2530	0,002493
2540	0,002481
2550	0,002424
2560	0,002437
2570	0,002516
2580	0,002579
2590	0,002406
2600	0,002418
2610	0,002454
2620	0,002422
2630	0,002585
