Experimento	g_num_deterministic_calls	g_num_cache_misses	g_num_cache_misses (%)	cache_size
epr-with-speedupy	10	9	90,0%	9
menger-sponge-with-speedupy	57804	57804	100,0%	57804
menger-sponge-with-speedupy	80004	80004	100,0%	80004
menger-sponge-with-speedupy	51204	51204	100,0%	51204
menger-sponge-with-speedupy	64804	64804	100,0%	64804
menger-sponge-with-speedupy	72204	72204	100,0%	72204
05msrgithubexps/05msrgithubexps_exp07_median	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp02_cvar	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp01_mov_robots	16	16	100,0%	16
05msrgithubexps/05msrgithubexps_exp01_mov_robots	16	16	100,0%	16
05msrgithubexps/05msrgithubexps_exp01_mov_robots	16	16	100,0%	16
05msrgithubexps/05msrgithubexps_exp01_mov_robots	16	16	100,0%	16
05msrgithubexps/05msrgithubexps_exp01_mov_robots	16	16	100,0%	16
05msrgithubexps/05msrgithubexps_exp06_find_gc	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp06_find_gc	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp06_find_gc	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp06_find_gc	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp06_find_gc	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp03_eq_solver	301	301	100,0%	301
05msrgithubexps/05msrgithubexps_exp03_eq_solver	201	201	100,0%	201
05msrgithubexps/05msrgithubexps_exp03_eq_solver	401	401	100,0%	401
05msrgithubexps/05msrgithubexps_exp03_eq_solver	101	101	100,0%	101
05msrgithubexps/05msrgithubexps_exp03_eq_solver	501	501	100,0%	501
05msrgithubexps/05msrgithubexps_exp05_chunks	1	1	100,0%	1
05msrgithubexps/05msrgithubexps_exp04_curves	34146	34146	100,0%	34146
04benchproglangs/04benchpl_exp05_matrix_mult_OK	1	1	100,0%	1
04benchproglangs/04benchpl_exp01_copy_matrix_OK	1	1	100,0%	1
04benchproglangs/04benchpl_exp01_copy_matrix_OK	2	2	100,0%	2
04benchproglangs/04benchpl_exp08_fft_OK	1	1	100,0%	1
04benchproglangs/04benchpl_exp04_fibonacci_OK	100	52	52,0%	52
04benchproglangs/04benchpl_exp03_count_unique_words_OK	1933004	71597	3,7039240477515825%	71597
04benchproglangs/04benchpl_exp03_count_unique_words_OK	1560508	44342	2,8415105850146234%	44342
04benchproglangs/04benchpl_exp03_count_unique_words_OK	816974	63390	7,759120853295209%	63390
04benchproglangs/04benchpl_exp03_count_unique_words_OK	1161062	62293	5,365174297324346%	62293
04benchproglangs/04benchpl_exp03_count_unique_words_OK	1321756	50481	3,819237438680059%	112774
04benchproglangs/04benchpl_exp02_look_and_say_OK	1	1	100,0%	1
04benchproglangs/04benchpl_exp09_iterative_solver_jacobi_OK	2002	4	0,1998001998001998%	4
04benchproglangs/04benchpl_exp09_iterative_solver_jacobi_OK	200002	4	0,001999980000199998%	4
04benchproglangs/04benchpl_exp09_iterative_solver_jacobi_OK	20002	4	0,019998000199980003%	4
04benchproglangs/04benchpl_exp09_iterative_solver_jacobi_OK	100002	4	0,003999920001599968%	4
04benchproglangs/04benchpl_exp09_iterative_solver_jacobi_OK	10002	4	0,03999200159968006%	4
04benchproglangs/04benchpl_exp07_metropolis_hastings	67501	67501	100,0%	67501
04benchproglangs/04benchpl_exp07_metropolis_hastings	72501	72501	100,0%	72501
04benchproglangs/04benchpl_exp07_metropolis_hastings	75001	75001	100,0%	75001
04benchproglangs/04benchpl_exp07_metropolis_hastings	70001	70001	100,0%	70001
04benchproglangs/04benchpl_exp07_metropolis_hastings	65001	65001	100,0%	65001
04benchproglangs/04benchpl_exp10_square_root_matrix_OK	1	1	100,0%	1
04benchproglangs/04benchpl_exp12_function_evaluation_OK	1	1	100,0%	1
04benchproglangs/04benchpl_exp11_gauss_legendre_quadrature_OK	2	2	100,0%	2
04benchproglangs/04benchpl_exp14_pernicious_numbers_OK	249689	124861	50,00660822062646%	124861
04benchproglangs/04benchpl_exp06_belief_propagation_OK	1	1	100,0%	1
03dataoneexps/03dataoneexps_exp05_37_Agua_Salud_Discharge_Data	1	1	100,0%	1
03dataoneexps/03dataoneexps_exp01_32_Accessing_Hydrologic_Data	2	2	100,0%	2
03dataoneexps/03dataoneexps_exp03_46_A_Method_For_Calculating	3	3	100,0%	3
