Storage: persist_data_db
Data	Execution time
1	0,011075
10	0,011319
20	0,011461
30	0,011437
40	0,011523
50	0,011729
60	0,011771
70	0,012002
80	0,016091
90	0,017072
100	0,018603
110	0,017124
120	0,017375
130	0,017496
140	0,017624
150	0,017947
160	0,018142
170	0,018402
180	0,018416
190	0,018396
200	0,018581
210	0,019593
220	0,018860
230	0,019125
240	0,019410
250	0,019530
260	0,019850
270	0,026407
280	0,020034
290	0,020040
300	0,019969
310	0,020149
320	0,020531
330	0,030883
340	0,020563
350	0,020388
360	0,020134
370	0,020183
380	0,020201
390	0,020139
400	0,020407
410	0,020444
420	0,020729
430	0,024071
440	0,020873
450	0,020636
460	0,021201
470	0,020763
480	0,020556
490	0,021017
500	0,020906
510	0,020823
520	0,021002
530	0,021187
540	0,021115
550	0,020737
560	0,021360
570	0,021080
580	0,020993
590	0,028694
600	0,021613
610	0,030613
620	0,020957
630	0,021224
640	0,021965
650	0,021785
660	0,021395
670	0,021426
680	0,021926
690	0,021686
700	0,021653
710	0,021744
720	0,021720
730	0,021753
740	0,021599
750	0,021787
760	0,022646
770	0,021803
780	0,021818
790	0,022069
800	0,022007
810	0,022034
820	0,022196
830	0,022228
840	0,022934
850	0,022085
860	0,022576
870	0,022184
880	0,021986
890	0,022285
900	0,022350
910	0,022933
920	0,022504
930	0,022005
940	0,022489
950	0,022757
960	0,022430
970	0,022572
980	0,022521
990	0,022870
1000	0,028140
1010	0,022813
1020	0,022911
1030	0,022577
1040	0,022938
1050	0,022924
1060	0,022704
1070	0,022962
1080	0,022743
1090	0,026309
1100	0,022904
1110	0,022805
1120	0,023100
1130	0,022955
1140	0,022887
1150	0,023314
1160	0,023009
1170	0,023151
1180	0,022955
1190	0,023320
1200	0,023151
1210	0,023310
1220	0,023467
1230	0,023603
1240	0,023472
1250	0,030257
1260	0,023655
1270	0,023173
1280	0,023360
1290	0,023224
1300	0,023526
1310	0,023380
1320	0,023664
1330	0,023486
1340	0,023892
1350	0,023746
1360	0,023619
1370	0,031143
1380	0,023558
1390	0,026994
1400	0,023677
1410	0,023786
1420	0,024433
1430	0,023791
1440	0,026567
1450	0,024109
1460	0,023832
1470	0,023967
1480	0,023921
1490	0,024643
1500	0,023985
1510	0,024581
1520	0,024378
1530	0,024075
1540	0,024321
1550	0,024131
1560	0,024553
1570	0,024605
1580	0,024865
1590	0,032476
1600	0,026655
1610	0,024638
1620	0,024494
1630	0,024704
1640	0,024824
1650	0,024879
1660	0,025039
1670	0,024843
1680	0,024819
1690	0,024845
1700	0,024653
1710	0,024802
1720	0,024933
1730	0,024887
1740	0,025047
1750	0,024921
1760	0,024874
1770	0,025230
1780	0,025881
1790	0,025211
1800	0,025108
1810	0,025041
1820	0,025710
1830	0,025023
1840	0,025192
1850	0,025186
1860	0,025278
1870	0,024976
1880	0,027942
1890	0,025803
1900	0,025607
1910	0,025405
1920	0,025739
1930	0,025421
1940	0,025310
1950	0,025575
1960	0,025806
1970	0,028432
1980	0,031398
1990	0,031314
2000	0,029344
2010	0,025599
2020	0,026056
2030	0,025764
2040	0,026162
2050	0,025893
2060	0,026057
2070	0,026384
2080	0,026251
2090	0,026008
2100	0,025997
2110	0,026226
2120	0,026119
2130	0,027024
2140	0,026049
2150	0,026115
2160	0,026721
2170	0,026788
2180	0,026214
2190	0,026594
2200	0,029342
2210	0,027048
2220	0,026958
2230	0,026478
2240	0,026641
2250	0,027591
2260	0,026848
2270	0,026781
2280	0,026481
2290	0,026758
2300	0,030676
2310	0,027039
2320	0,027295
2330	0,026771
2340	0,026922
2350	0,026856
2360	0,026685
2370	0,027256
2380	0,027020
2390	0,026857
2400	0,027004
2410	0,026622
2420	0,026792
2430	0,027215
2440	0,027393
2450	0,027501
2460	0,027348
2470	0,027475
2480	0,027732
2490	0,028464
2500	0,027302
2510	0,027436
2520	0,027334
2530	0,027609
2540	0,027758
2550	0,027531
2560	0,027978
2570	0,029651
2580	0,027668
2590	0,028245
2600	0,027648
2610	0,027868
2620	0,028326
2630	0,028002
2640	0,028433
2650	0,027894
2660	0,035944
2670	0,028114
2680	0,028437
2690	0,028305
2700	0,028276
2710	0,027899
2720	0,040185
2730	0,029011
2740	0,028698
2750	0,028799
2760	0,028338
2770	0,028255
2780	0,028164
2790	0,028470
2800	0,028637
2810	0,030820
2820	0,028919
2830	0,031999
2840	0,029014
2850	0,028940
2860	0,028993
2870	0,028760
2880	0,028817
2890	0,031171
2900	0,033411
2910	0,033804
2920	0,031718
2930	0,029023
2940	0,030238
2950	0,029135
2960	0,034452
2970	0,029356
2980	0,029067
2990	0,029296
3000	0,029086
3010	0,029224
3020	0,029406
3030	0,029427
3040	0,029770
3050	0,029367
3060	0,029667
3070	0,029799
3080	0,029359
3090	0,029720
3100	0,029632
3110	0,034836
3120	0,037979
3130	0,033674
3140	0,029533
3150	0,029675
3160	0,030281
3170	0,029778
3180	0,030020
3190	0,032160
3200	0,030462
3210	0,030444
3220	0,030519
3230	0,029897
3240	0,029773
3250	0,029826
3260	0,029804
3270	0,029871
3280	0,030510
3290	0,030344
3300	0,038177
3310	0,030203
3320	0,030463
3330	0,029987
3340	0,031109
3350	0,030808
3360	0,030704
3370	0,030255
3380	0,030298
3390	0,030625
3400	0,035881
3410	0,031055
3420	0,030347
3430	0,031461
3440	0,030505
3450	0,031278
3460	0,031112
3470	0,031181
3480	0,030655
3490	0,030636
3500	0,030870
3510	0,030748
3520	0,030915
3530	0,030672
3540	0,031093
3550	0,031045
3560	0,031864
3570	0,031249
3580	0,031765
3590	0,031054
3600	0,037261
3610	0,031442
3620	0,031541
3630	0,031786
3640	0,031522
3650	0,031356
3660	0,032362
3670	0,031746
3680	0,031513
3690	0,032061
3700	0,031824
3710	0,037115
3720	0,032532
3730	0,031953
3740	0,031831
3750	0,031784
3760	0,031534
3770	0,031825
3780	0,031596
3790	0,031632
3800	0,032041
3810	0,032149
3820	0,031875
3830	0,032311
3840	0,032377
3850	0,033885
3860	0,032050
3870	0,031727
3880	0,032614
3890	0,031939
3900	0,032374
3910	0,032514
3920	0,039437
3930	0,032365
3940	0,032556
3950	0,032570
3960	0,032815
3970	0,032363
3980	0,043614
3990	0,032757
4000	0,032512
4010	0,032696
4020	0,032275
4030	0,032830
4040	0,032756
4050	0,032564
4060	0,032696
4070	0,038247
4080	0,032932
4090	0,037562
4100	0,032679
4110	0,032546
4120	0,033035
4130	0,033003
4140	0,032837
4150	0,040774
4160	0,033085
4170	0,033153
4180	0,033042
4190	0,033085
4200	0,032872
4210	0,033123
4220	0,033536
4230	0,033495
4240	0,033330
4250	0,039824
4260	0,034018
4270	0,041160
4280	0,033762
4290	0,033677
4300	0,034241
4310	0,033410
4320	0,033682
4330	0,033483
4340	0,033820
4350	0,033851
4360	0,033808
4370	0,033672
4380	0,034366
4390	0,034117
4400	0,033910
4410	0,034093
4420	0,034608
4430	0,035673
4440	0,033729
4450	0,033787
4460	0,034347
4470	0,034214
4480	0,033974
4490	0,034678
4500	0,034341
4510	0,034190
4520	0,038801
4530	0,034519
4540	0,035140
4550	0,034531
4560	0,033988
4570	0,034791
4580	0,034698
4590	0,035695
4600	0,034734
4610	0,034628
4620	0,035450
4630	0,035065
4640	0,034644
4650	0,035160
4660	0,035043
4670	0,035848
4680	0,034930
4690	0,043030
4700	0,034792
4710	0,034740
4720	0,034996
4730	0,035239
4740	0,036516
4750	0,035072
4760	0,035106
4770	0,035034
4780	0,035387
4790	0,035855
4800	0,035605
4810	0,035371
4820	0,035658
4830	0,035452
4840	0,035655
4850	0,035925
4860	0,035244
4870	0,035356
4880	0,035711
4890	0,035303
4900	0,035528
4910	0,036090
4920	0,036322
4930	0,036002
4940	0,037301
4950	0,035791
4960	0,035768
4970	0,035877
4980	0,036463
4990	0,035833
5000	0,036143

Storage: persist_data_filesystem
Data	Execution time
1	0,000656
10	0,002344
20	0,004324
30	0,005268
40	0,005375
50	0,006083
60	0,006051
70	0,006456
80	0,006953
90	0,007724
100	0,007710
110	0,007619
120	0,008481
130	0,008479
140	0,009081
150	0,009291
160	0,009398
170	0,010083
180	0,011057
190	0,010914
200	0,010979
210	0,010965
220	0,011794
230	0,011705
240	0,012591
250	0,012527
260	0,013426
270	0,013346
280	0,013404
290	0,013654
300	0,014131
310	0,014121
320	0,015894
330	0,014899
340	0,015947
350	0,015646
360	0,016795
370	0,017474
380	0,017268
390	0,018275
400	0,017382
410	0,018036
420	0,018200
430	0,018107
440	0,019142
450	0,019158
460	0,019137
470	0,019891
480	0,021490
490	0,020654
500	0,021491
510	0,022343
520	0,022389
530	0,023116
540	0,022216
550	0,022884
560	0,022395
570	0,024981
580	0,023209
590	0,025548
600	0,024249
610	0,024572
620	0,024505
630	0,024481
640	0,025169
650	0,027144
660	0,027917
670	0,027540
680	0,026359
690	0,028870
700	0,027164
710	0,029092
720	0,029103
730	0,028436
740	0,029515
750	0,033223
760	0,029462
770	0,031295
780	0,029899
790	0,033105
800	0,031168
810	0,031075
820	0,032919
830	0,033846
840	0,032019
850	0,033093
860	0,032799
870	0,034687
880	0,033384
890	0,035026
900	0,036435
910	0,033659
920	0,034365
930	0,035271
940	0,035447
950	0,036112
960	0,036152
970	0,035950
980	0,037144
990	0,037342
1000	0,036766
1010	0,037873
1020	0,037846
1030	0,037889
1040	0,038538
1050	0,039488
1060	0,039202
1070	0,039590
1080	0,039812
1090	0,040120
1100	0,040923
1110	0,041020
1120	0,041667
1130	0,041370
1140	0,042101
1150	0,041668
1160	0,041665
1170	0,042398
1180	0,042529
1190	0,043706
1200	0,043763
1210	0,044899
1220	0,044111
1230	0,044420
1240	0,044655
1250	0,046279
1260	0,045722
1270	0,046480
1280	0,046875
1290	0,046543
1300	0,047487
1310	0,047250
1320	0,047669
1330	0,048246
1340	0,048488
1350	0,048928
1360	0,048897
1370	0,049221
1380	0,049114
1390	0,049577
1400	0,051600
1410	0,050956
1420	0,050575
1430	0,051063
1440	0,052248
1450	0,052263
1460	0,053029
1470	0,053243
1480	0,053740
1490	0,054018
1500	0,053687
1510	0,053927
1520	0,054884
1530	0,054490
1540	0,056105
1550	0,054248
1560	0,050770
1570	0,050785
1580	0,051004
1590	0,051798
1600	0,052723
1610	0,051955
1620	0,053781
1630	0,054065
1640	0,052584
1650	0,054442
1660	0,054062
1670	0,054583
1680	0,054303
1690	0,055703
1700	0,055336
1710	0,055427
1720	0,054726
1730	0,055696
1740	0,056554
1750	0,056028
1760	0,060717
1770	0,055592
1780	0,058710
1790	0,057437
1800	0,059178
1810	0,056599
1820	0,059908
1830	0,058879
1840	0,058890
1850	0,059686
1860	0,060638
1870	0,060262
1880	0,068774
1890	0,061782
1900	0,061058
1910	0,062540
1920	0,063038
1930	0,061608
1940	0,062748
1950	0,064075
1960	0,064344
1970	0,062158
1980	0,065522
1990	0,065511
2000	0,062526
2010	0,068052
2020	0,064348
2030	0,065178
2040	0,066334
2050	0,065973
2060	0,064258
2070	0,066587
2080	0,066405
2090	0,066752
2100	0,068883
2110	0,069227
