Storage: restore_data_db
Data	Execution time
1	0,000131
10	0,000305
20	0,000460
30	0,000627
40	0,000762
50	0,000920
60	0,001053
70	0,001215
80	0,001367
90	0,001550
100	0,001676
110	0,001855
120	0,002046
130	0,002208
140	0,002360
150	0,002494
160	0,002641
170	0,002841
180	0,002996
190	0,003164
200	0,003251
210	0,003468
220	0,003651
230	0,003927
240	0,004090
250	0,004251
260	0,004439
270	0,004500
280	0,004746
290	0,004870
300	0,004981
310	0,005068
320	0,005326
330	0,005379
340	0,005560
350	0,005676
360	0,005888
370	0,005904
380	0,005887
390	0,005887
400	0,005905
410	0,005897
420	0,005900
430	0,005894
440	0,005899
450	0,005890
460	0,005905
470	0,005896
480	0,005915
490	0,005904
500	0,005906
510	0,005889
520	0,005948
530	0,005902
540	0,005964
550	0,005927
560	0,005917
570	0,005931
580	0,005918
590	0,005929
600	0,005927
610	0,006077
620	0,006274
630	0,006577
640	0,006632
650	0,006749
660	0,006813
670	0,006709
680	0,006915
690	0,006885
700	0,006891
710	0,006905
720	0,006912
730	0,006902
740	0,006888
750	0,006906
760	0,006902
770	0,006827
780	0,006906
790	0,006852
800	0,006906
810	0,006902
820	0,006934
830	0,006917
840	0,006915
850	0,006950
860	0,006947
870	0,006934
880	0,006939
890	0,006936
900	0,006936
910	0,006962
920	0,006975
930	0,006932
940	0,007224
950	0,007208
960	0,007230
970	0,007604
980	0,007709
990	0,007679
1000	0,007879
1010	0,007909
1020	0,007870
1030	0,007901
1040	0,007905
1050	0,007933
1060	0,007927
1070	0,007929
1080	0,007924
1090	0,007932
1100	0,007928
1110	0,007974
1120	0,007914
1130	0,007899
1140	0,007970
1150	0,007934
1160	0,007910
1170	0,007927
1180	0,007918
1190	0,007918
1200	0,007985
1210	0,007917
1220	0,008008
1230	0,007911
1240	0,007926
1250	0,008011
1260	0,007980
1270	0,008153
1280	0,008118
1290	0,008347
1300	0,008484
1310	0,008565
1320	0,008771
1330	0,008452
1340	0,008906
1350	0,008748
1360	0,008788
1370	0,008908
1380	0,008899
1390	0,008916
1400	0,008930
1410	0,008928
1420	0,008946
1430	0,008926
1440	0,008933
1450	0,008949
1460	0,008958
1470	0,008936
1480	0,008934
1490	0,008944
1500	0,008941
1510	0,008937
1520	0,008911
1530	0,008920
1540	0,008920
1550	0,008968
1560	0,008928
1570	0,008930
