Storage: restore_data_db_with_dict
Data	Execution time
1	0,000162
10	0,001048
20	0,002022
30	0,003022
40	0,003972
50	0,004943
60	0,005435
70	0,005902
80	0,005914
90	0,005904
100	0,005922
110	0,006477
120	0,006862
130	0,006906
140	0,006902
150	0,006893
160	0,006903
170	0,007536
180	0,007809
190	0,007890
200	0,007922
210	0,007905
220	0,007901
230	0,008288
240	0,008641
250	0,008844
260	0,008822
270	0,008866
280	0,008875
290	0,009017
300	0,009839
310	0,009835
320	0,009841
330	0,009851
340	0,009849
350	0,009832
360	0,010810
370	0,010888
380	0,010831
390	0,010854
400	0,010839
410	0,010930
420	0,011690
430	0,011850
440	0,011837
450	0,011844
460	0,011880
470	0,011942
480	0,012772
490	0,012340
500	0,012802
510	0,012818
520	0,012840
530	0,012842
540	0,012939
550	0,013547
560	0,013791
570	0,013748
580	0,013762
590	0,013811
600	0,013923
610	0,014120
620	0,014704
630	0,014704
640	0,014818
650	0,014800
660	0,015585
670	0,015357
680	0,015794
690	0,015776
700	0,015787
710	0,015828
720	0,016602
730	0,016733
740	0,016745
750	0,016816
760	0,016782
770	0,017337
780	0,017739
790	0,017783
800	0,017773
810	0,017794
820	0,017807
830	0,018395
840	0,017987
850	0,018629
860	0,018713
870	0,018769
880	0,018777
890	0,018778
900	0,019069
910	0,019756
920	0,019710
930	0,019772
940	0,019720
950	0,019913
960	0,020181
970	0,019776
980	0,019780
990	0,020417
1000	0,020702
1010	0,020769
1020	0,021010
1030	0,021415
1040	0,020978
1050	0,021730
1060	0,021750
1070	0,021738
1080	0,022569
1090	0,022730
1100	0,022725
1110	0,022714
1120	0,022718
1130	0,022609
1140	0,022771
1150	0,023144
1160	0,023461
1170	0,023628
1180	0,023655
1190	0,023737
1200	0,023951
1210	0,024370
1220	0,024703
1230	0,024588
1240	0,024767
1250	0,024898
1260	0,025577
1270	0,025573
1280	0,025730
1290	0,025674
1300	0,025663
1310	0,025697
1320	0,025836
1330	0,026435
1340	0,026608
1350	0,026617
1360	0,026404
1370	0,026206
1380	0,026702
1390	0,026959
1400	0,027667
1410	0,027642
1420	0,027593
1430	0,027665
1440	0,027581
1450	0,027579
1460	0,027650
1470	0,027624
1480	0,027673
1490	0,027815
1500	0,029391
1510	0,028676
1520	0,028686
1530	0,029643
1540	0,028664
1550	0,029614
1560	0,029644
1570	0,030138
1580	0,029616
1590	0,030598
1600	0,030615
1610	0,030618
1620	0,030948
1630	0,030692
1640	0,031160
1650	0,030866
1660	0,031269
1670	0,031502
1680	0,031644
1690	0,031797
1700	0,031685
1710	0,031699
1720	0,031653
1730	0,031770
1740	0,032507
1750	0,032607
1760	0,033278
1770	0,033546
1780	0,033563
1790	0,033596
1800	0,033701
1810	0,033724
1820	0,034341
1830	0,034490
1840	0,034626
1850	0,034972
1860	0,035160
1870	0,035203
1880	0,034571
1890	0,034590
1900	0,034579
1910	0,034538
1920	0,034650
1930	0,034903
1940	0,035483
1950	0,035560
1960	0,035600
1970	0,035616
1980	0,035633
1990	0,035658
2000	0,036322
2010	0,036537
2020	0,037419
2030	0,037525
2040	0,037542
2050	0,037653
2060	0,036911
2070	0,037435
2080	0,037588
2090	0,037713
2100	0,037448
2110	0,037643
2120	0,038526
2130	0,038452
2140	0,038609
2150	0,038449
2160	0,038630
2170	0,038908
2180	0,040445
2190	0,040606
2200	0,040553
2210	0,041047
2220	0,039393
2230	0,039561
2240	0,039791
2250	0,040319
2260	0,040661
2270	0,040601
2280	0,040591
2290	0,041256
2300	0,042482
2310	0,042620
2320	0,042377
2330	0,042599
2340	0,041607
2350	0,043461
2360	0,043625
2370	0,043500
2380	0,043503
2390	0,043638
2400	0,044005
2410	0,044322
