Storage: restore_data_db_with_dict
Data	Execution time
1	0,000164
10	0,000238
20	0,000332
30	0,000421
40	0,000474
50	0,000586
60	0,000671
70	0,000698
80	0,000841
90	0,000925
100	0,001010
110	0,001002
120	0,001080
130	0,001270
140	0,001244
150	0,001441
160	0,001539
170	0,001619
180	0,001550
190	0,001786
200	0,001704
210	0,001767
220	0,002061
230	0,002126
240	0,002228
250	0,002327
260	0,002408
270	0,002490
280	0,002565
290	0,002654
300	0,002741
310	0,002813
320	0,002912
330	0,003011
340	0,003078
350	0,003169
360	0,003264
370	0,003356
380	0,003444
390	0,003525
400	0,003426
410	0,003311
420	0,003573
430	0,003850
440	0,003935
450	0,003633
460	0,004093
470	0,004213
480	0,004299
490	0,004401
500	0,004464
510	0,004075
520	0,004629
530	0,004725
540	0,004328
550	0,004396
560	0,004974
570	0,004904
580	0,004619
590	0,004690
600	0,005235
610	0,005396
620	0,005422
630	0,005425
640	0,005476
650	0,005704
660	0,005848
670	0,005809
680	0,005915
690	0,005916
700	0,005899
710	0,005615
720	0,005922
730	0,005912
740	0,005913
750	0,005928
760	0,005912
770	0,005907
780	0,005913
790	0,005898
800	0,005909
810	0,005887
820	0,005859
830	0,005912
840	0,005900
850	0,005906
860	0,005926
870	0,005879
880	0,005912
890	0,005926
900	0,005929
910	0,005857
920	0,005885
930	0,005903
940	0,005911
950	0,005933
960	0,005914
970	0,005921
980	0,005951
990	0,005871
1000	0,005943
1010	0,005921
1020	0,005919
1030	0,005925
1040	0,005920
1050	0,005950
1060	0,005918
1070	0,005941
1080	0,005923
1090	0,005934
1100	0,005922
1110	0,005927
1120	0,005904
1130	0,005935
1140	0,005927
1150	0,005935
1160	0,005917
1170	0,005927
1180	0,005921
1190	0,005921
1200	0,005921
1210	0,006052
1220	0,006090
1230	0,006397
1240	0,006092
1250	0,006438
1260	0,006374
1270	0,006745
1280	0,006846
1290	0,006843
1300	0,006865
1310	0,006184
1320	0,006419
1330	0,006903
1340	0,006889
1350	0,006894
1360	0,006519
1370	0,006879
1380	0,006416
1390	0,006893
1400	0,006880
1410	0,006931
1420	0,006896
1430	0,006900
1440	0,006897
1450	0,006904
1460	0,006890
1470	0,006937
1480	0,006909
1490	0,006900
1500	0,006913
1510	0,006894
1520	0,006859
1530	0,006901
1540	0,006907
1550	0,006945
1560	0,006919
1570	0,006930
1580	0,006925
1590	0,006935
1600	0,006890
1610	0,006910
1620	0,006929
1630	0,006924
1640	0,006906
1650	0,006872
1660	0,006839
1670	0,006920
1680	0,006919
1690	0,006915
1700	0,006915
1710	0,006902
1720	0,006904
1730	0,006909
1740	0,006913
1750	0,006925
1760	0,006935
1770	0,006921
1780	0,006911
1790	0,006855
1800	0,006928
1810	0,006940
1820	0,006929
1830	0,006909
1840	0,006907
1850	0,006957
1860	0,006939
1870	0,006909
1880	0,006912
1890	0,006909
1900	0,006961
1910	0,006980
1920	0,007366
1930	0,006935
1940	0,007637
1950	0,007575
1960	0,007768
1970	0,007751
1980	0,007836
1990	0,007813
2000	0,007672
2010	0,007849
2020	0,007877
2030	0,007902
2040	0,007924
2050	0,007567
2060	0,007877
2070	0,006952
2080	0,006944
2090	0,006968
2100	0,007050
2110	0,007074
2120	0,007859
2130	0,007862
2140	0,007833
